Date,Open,High,Low,Close,Adj Close,Volume
2020-09-03,177500.000000,177500.000000,174000.000000,176500.000000,172985.046875,1841550
2020-09-04,167500.000000,174000.000000,167500.000000,172500.000000,169064.703125,2886867
2020-09-07,172500.000000,173000.000000,169000.000000,170000.000000,166614.468750,1516649
2020-09-08,171000.000000,172500.000000,168000.000000,168000.000000,164654.312500,1933504
2020-09-09,166500.000000,172000.000000,165500.000000,167500.000000,164164.265625,1685225
2020-09-10,170500.000000,171500.000000,168000.000000,169000.000000,165634.406250,1326177
2020-09-11,167500.000000,171500.000000,167500.000000,171500.000000,168084.609375,1538378
2020-09-14,174500.000000,180000.000000,174000.000000,180000.000000,176415.343750,3145262
2020-09-15,184000.000000,185000.000000,178500.000000,179000.000000,175435.250000,2644009
2020-09-16,179500.000000,186000.000000,177000.000000,183500.000000,179845.625000,3401835
2020-09-17,185500.000000,191500.000000,183000.000000,184000.000000,180335.671875,4383978
2020-09-18,184000.000000,186000.000000,179000.000000,181000.000000,177395.421875,2584103
2020-09-21,181000.000000,188500.000000,180500.000000,185000.000000,181315.765625,3133848
2020-09-22,185000.000000,186000.000000,178000.000000,179500.000000,175925.296875,3042046
2020-09-23,183000.000000,183000.000000,170000.000000,179500.000000,175925.296875,3481682
2020-09-24,173500.000000,176000.000000,171000.000000,171500.000000,168084.609375,2841908
2020-09-25,172500.000000,174000.000000,166000.000000,170000.000000,166614.468750,2076987
2020-09-28,173000.000000,176000.000000,172000.000000,175500.000000,172004.953125,1374871
2020-09-29,178500.000000,180000.000000,177500.000000,178500.000000,174945.203125,1475249
2020-10-05,183000.000000,187500.000000,181500.000000,187000.000000,183275.921875,2732820
2020-10-06,188000.000000,188500.000000,181500.000000,182500.000000,178865.562500,2143171
2020-10-07,180000.000000,183500.000000,178500.000000,183000.000000,179355.593750,1512423
2020-10-08,185500.000000,186000.000000,180000.000000,180500.000000,176905.375000,1750474
2020-10-12,178000.000000,181500.000000,176000.000000,180000.000000,176415.343750,1655359
2020-10-13,181000.000000,181500.000000,176000.000000,179000.000000,175435.250000,1728432
2020-10-14,181000.000000,183500.000000,177000.000000,178000.000000,174455.171875,1930046
2020-10-15,177000.000000,178500.000000,175000.000000,176000.000000,172494.984375,1587551
2020-10-16,176500.000000,177500.000000,169000.000000,172000.000000,168574.656250,3197258
2020-10-19,169500.000000,172000.000000,167500.000000,168000.000000,164654.312500,2230634
2020-10-20,157000.000000,168500.000000,156500.000000,167500.000000,164164.265625,5697398
2020-10-21,167000.000000,167500.000000,163500.000000,165500.000000,162204.109375,1760669
2020-10-22,163000.000000,163500.000000,161000.000000,162500.000000,159263.843750,1700524
2020-10-23,163500.000000,168000.000000,163000.000000,167000.000000,163674.234375,1883932
2020-10-26,167000.000000,174000.000000,164000.000000,171500.000000,168084.609375,3018359
2020-10-27,173000.000000,178000.000000,171000.000000,172500.000000,169064.703125,3317704
2020-10-28,172000.000000,174000.000000,169500.000000,173500.000000,170044.781250,1419988
2020-10-29,169000.000000,171000.000000,168000.000000,170000.000000,166614.468750,1484537
2020-10-30,169000.000000,169500.000000,164500.000000,164500.000000,161224.015625,1452259
2020-11-02,166000.000000,170500.000000,166000.000000,170500.000000,167104.531250,1052301
2020-11-03,171000.000000,172000.000000,169000.000000,170500.000000,167104.531250,1006364
2020-11-04,173000.000000,175000.000000,170500.000000,171500.000000,168084.609375,1699252
2020-11-05,173500.000000,175000.000000,172500.000000,175000.000000,171514.921875,1299430
2020-11-06,176500.000000,177000.000000,169500.000000,170500.000000,167104.531250,2233192
2020-11-09,172500.000000,174500.000000,172000.000000,172500.000000,169064.703125,1521010
2020-11-10,174500.000000,174500.000000,172000.000000,173500.000000,170044.781250,1796342
2020-11-11,174500.000000,179000.000000,173000.000000,175500.000000,172004.953125,4140745
2020-11-12,175500.000000,177000.000000,173000.000000,174000.000000,170534.828125,1965154
2020-11-13,174000.000000,178500.000000,173500.000000,177500.000000,173965.125000,2405777
2020-11-16,182500.000000,183500.000000,177500.000000,179000.000000,175435.250000,2752922
2020-11-17,179500.000000,185000.000000,178000.000000,182500.000000,178865.562500,3429139
2020-11-18,183500.000000,185500.000000,179000.000000,179500.000000,175925.296875,2228657
2020-11-19,179000.000000,181500.000000,177500.000000,180000.000000,176415.343750,1379907
2020-11-20,179000.000000,179500.000000,177000.000000,177000.000000,173475.078125,1309560
2020-11-23,175000.000000,179500.000000,175000.000000,179000.000000,175435.250000,1494870
2020-11-24,181000.000000,183000.000000,179500.000000,181000.000000,177395.421875,1522580
2020-11-25,183500.000000,184000.000000,178000.000000,179500.000000,175925.296875,2082764
2020-11-26,179500.000000,181000.000000,178000.000000,179000.000000,175435.250000,1260429
2020-11-27,179000.000000,181000.000000,178000.000000,181000.000000,177395.421875,1033868
2020-11-30,181500.000000,188500.000000,181500.000000,181500.000000,177885.468750,3981271
2020-12-01,183000.000000,184500.000000,179500.000000,183500.000000,179845.625000,1792800
2020-12-02,183500.000000,184500.000000,181500.000000,182500.000000,178865.562500,1745795
2020-12-03,183500.000000,196500.000000,182000.000000,196500.000000,192586.750000,6053809
2020-12-04,198000.000000,199000.000000,195000.000000,196500.000000,192586.750000,3224702
2020-12-07,195500.000000,198500.000000,190500.000000,193500.000000,189646.484375,2519339
2020-12-08,191000.000000,192000.000000,186000.000000,186500.000000,182785.890625,3181249
2020-12-09,188000.000000,192000.000000,187000.000000,191500.000000,187686.312500,1805987
2020-12-10,189000.000000,194000.000000,188000.000000,191500.000000,187686.312500,2187019
2020-12-11,193000.000000,194500.000000,190000.000000,190000.000000,186216.187500,1644559
2020-12-14,190500.000000,191000.000000,187000.000000,189000.000000,185236.109375,1259459
2020-12-15,189000.000000,190500.000000,186000.000000,188500.000000,184746.046875,1355388
2020-12-16,190000.000000,193500.000000,189500.000000,190000.000000,186216.187500,1268117
2020-12-17,190000.000000,190500.000000,188000.000000,190500.000000,186706.234375,974859
2020-12-18,191000.000000,191000.000000,189000.000000,189000.000000,185236.109375,930831
2020-12-21,188500.000000,189000.000000,185000.000000,187000.000000,183275.921875,1120752
2020-12-22,186000.000000,186500.000000,183000.000000,184000.000000,180335.671875,1381697
2020-12-23,183000.000000,188500.000000,183000.000000,185000.000000,181315.765625,1301433
2020-12-24,185000.000000,189000.000000,185000.000000,187000.000000,183275.921875,1061140
2020-12-28,189000.000000,193000.000000,187500.000000,189500.000000,185726.140625,2410348
2020-12-29,191000.000000,191500.000000,188000.000000,190500.000000,189709.546875,1488327
2020-12-30,190500.000000,193500.000000,189000.000000,192000.000000,191203.312500,1361340
2021-01-04,194000.000000,211000.000000,193500.000000,207500.000000,206639.000000,5651695
2021-01-05,207000.000000,213000.000000,205000.000000,209500.000000,208630.703125,3022595
2021-01-06,209500.000000,211500.000000,202500.000000,203000.000000,202157.671875,2848547
2021-01-07,206000.000000,210500.000000,204500.000000,206000.000000,205145.234375,2478337
2021-01-08,240500.000000,257000.000000,225000.000000,246000.000000,244979.250000,19933702
2021-01-11,256500.000000,289000.000000,256000.000000,267500.000000,266390.031250,14433887
2021-01-12,263500.000000,274500.000000,250500.000000,261000.000000,259917.015625,8040182
2021-01-13,259500.000000,265000.000000,250000.000000,259000.000000,257925.312500,5805649
2021-01-14,251000.000000,255500.000000,248500.000000,250500.000000,249460.578125,3389733
2021-01-15,252000.000000,255000.000000,239000.000000,240000.000000,239004.156250,3915078
2021-01-18,237500.000000,246500.000000,234000.000000,241000.000000,240000.000000,3387635
2021-01-19,244000.000000,261500.000000,244000.000000,261500.000000,260414.937500,4976690
2021-01-20,271000.000000,277000.000000,254000.000000,259000.000000,257925.312500,5305494
2021-01-21,264000.000000,266500.000000,259500.000000,264500.000000,263402.500000,2593509
2021-01-22,261000.000000,263000.000000,257000.000000,257000.000000,255933.609375,2093127
2021-01-25,253000.000000,262000.000000,251500.000000,260000.000000,258921.156250,1895263
2021-01-26,260500.000000,260500.000000,250500.000000,251500.000000,250456.437500,1846817
2021-01-27,252000.000000,254500.000000,245000.000000,245500.000000,244481.328125,2190994
2021-01-28,238000.000000,243500.000000,236500.000000,238500.000000,237510.375000,2033262
2021-01-29,242000.000000,242500.000000,227000.000000,229000.000000,228049.796875,2663404
2021-02-01,229000.000000,238500.000000,224500.000000,238500.000000,237510.375000,1798912
2021-02-02,241500.000000,243500.000000,236000.000000,240500.000000,239502.078125,1519973
2021-02-03,245000.000000,252500.000000,242500.000000,245500.000000,244481.328125,2983093
2021-02-04,251500.000000,253000.000000,244000.000000,248500.000000,247468.875000,1907305
2021-02-05,249500.000000,250500.000000,243000.000000,249500.000000,248464.734375,1539977
2021-02-08,238000.000000,240500.000000,228500.000000,234000.000000,233029.046875,3212977
2021-02-09,232500.000000,240500.000000,232500.000000,236500.000000,235518.671875,1391614
2021-02-10,239000.000000,246000.000000,235000.000000,245000.000000,243983.406250,1233628
2021-02-15,247000.000000,249000.000000,243500.000000,247500.000000,246473.031250,916331
2021-02-16,249000.000000,251000.000000,245000.000000,247500.000000,246473.031250,1179084
2021-02-17,248000.000000,248000.000000,242500.000000,243500.000000,242489.625000,871176
2021-02-18,241000.000000,243500.000000,235500.000000,235500.000000,234522.828125,1260023
2021-02-19,236500.000000,242000.000000,235500.000000,242000.000000,240995.843750,1168454
2021-02-22,243000.000000,247500.000000,240000.000000,241500.000000,240497.921875,1157808
2021-02-23,242500.000000,247500.000000,237000.000000,244500.000000,243485.484375,1629578
2021-02-24,246500.000000,249000.000000,235000.000000,235000.000000,234024.890625,2072507
2021-02-25,239000.000000,245000.000000,235000.000000,245000.000000,243983.406250,1562697
2021-02-26,238500.000000,248500.000000,235500.000000,237000.000000,236016.593750,2710962
2021-03-02,244500.000000,249000.000000,237000.000000,239000.000000,238008.296875,2509152
2021-03-03,239000.000000,241500.000000,236500.000000,240000.000000,239004.156250,910872
2021-03-04,236000.000000,238000.000000,232500.000000,235000.000000,234024.890625,1274581
2021-03-05,230500.000000,237000.000000,228500.000000,235000.000000,234024.890625,1153198
2021-03-08,237000.000000,237500.000000,230000.000000,230500.000000,229543.562500,853206
2021-03-09,230500.000000,234000.000000,228000.000000,231500.000000,230539.421875,1254755
2021-03-10,236500.000000,236500.000000,227000.000000,227500.000000,226556.015625,901351
2021-03-11,228000.000000,232000.000000,227500.000000,228500.000000,227551.875000,1154314
2021-03-12,231500.000000,233500.000000,229000.000000,232500.000000,231535.265625,823038
2021-03-15,233000.000000,236000.000000,230000.000000,232000.000000,231037.343750,769672
2021-03-16,233500.000000,235000.000000,232000.000000,234000.000000,233029.046875,633617
2021-03-17,234000.000000,234000.000000,230000.000000,232000.000000,231037.343750,627439
2021-03-18,234500.000000,238000.000000,233500.000000,234000.000000,233029.046875,1005422
2021-03-19,230000.000000,232000.000000,229000.000000,229500.000000,228547.718750,1055587
2021-03-22,230000.000000,231000.000000,227500.000000,229000.000000,228049.796875,739527
2021-03-23,229500.000000,231000.000000,225500.000000,226500.000000,225560.171875,1024811
2021-03-24,225000.000000,225500.000000,220000.000000,221000.000000,220082.984375,1049551
2021-03-25,218500.000000,220500.000000,216000.000000,218000.000000,217095.437500,1087519
2021-03-26,219500.000000,219500.000000,212000.000000,215500.000000,214605.812500,1480861
2021-03-29,215500.000000,217500.000000,211000.000000,215500.000000,214605.812500,1184415
