Date,Open,High,Low,Close,Adj Close,Volume
2020-09-03,83100.000000,83200.000000,80800.000000,82000.000000,81967.023438,3696075
2020-09-04,78000.000000,80900.000000,77900.000000,80400.000000,80367.664063,5842645
2020-09-07,80300.000000,80300.000000,78200.000000,78400.000000,78368.468750,4644695
2020-09-08,78700.000000,79700.000000,76100.000000,78000.000000,77968.632813,5102695
2020-09-09,76300.000000,77600.000000,75800.000000,76800.000000,76769.117188,4677865
2020-09-10,78400.000000,79300.000000,76800.000000,77100.000000,77068.992188,4683540
2020-09-11,76400.000000,76800.000000,75100.000000,75800.000000,75769.515625,3964200
2020-09-14,75400.000000,75600.000000,73800.000000,74700.000000,74669.960938,4151155
2020-09-15,74200.000000,77000.000000,73800.000000,76200.000000,76169.359375,4300190
2020-09-16,76800.000000,76900.000000,75400.000000,75400.000000,75369.679688,2428715
2020-09-17,74700.000000,74800.000000,73800.000000,74200.000000,74170.164063,3088510
2020-09-18,73800.000000,75400.000000,73200.000000,74600.000000,74570.000000,2476355
2020-09-21,74300.000000,74800.000000,72800.000000,72900.000000,72870.679688,2651275
2020-09-22,72200.000000,73800.000000,70200.000000,70600.000000,70571.609375,4401590
2020-09-23,71700.000000,73400.000000,70600.000000,73100.000000,73070.601563,4651970
2020-09-24,72200.000000,72300.000000,70200.000000,70400.000000,70371.687500,3818190
2020-09-25,71200.000000,71600.000000,69300.000000,70300.000000,70271.726563,2248505
2020-09-28,71300.000000,74400.000000,70800.000000,73800.000000,73770.320313,3373525
2020-09-29,74900.000000,75000.000000,72800.000000,72900.000000,72870.679688,3060270
2020-10-05,72100.000000,74100.000000,71600.000000,74100.000000,74070.203125,2611140
2020-10-06,74700.000000,76700.000000,74000.000000,76300.000000,76269.312500,3826695
2020-10-07,75600.000000,76300.000000,75200.000000,76100.000000,76069.398438,1991425
2020-10-08,76700.000000,77400.000000,75800.000000,75800.000000,75769.515625,3123290
2020-10-12,76600.000000,76600.000000,74200.000000,74300.000000,74270.117188,2358120
2020-10-13,74800.000000,75400.000000,74300.000000,74400.000000,74370.078125,1511585
2020-10-14,74000.000000,75000.000000,73200.000000,73700.000000,73670.359375,1665040
2020-10-15,73600.000000,73700.000000,72000.000000,72400.000000,72370.882813,2112830
2020-10-16,72200.000000,72400.000000,71000.000000,71500.000000,71471.242188,2002025
2020-10-19,71600.000000,72500.000000,70400.000000,70600.000000,70571.609375,1812010
2020-10-20,69600.000000,70600.000000,68000.000000,70500.000000,70471.648438,3799865
2020-10-21,70200.000000,72200.000000,70200.000000,70700.000000,70671.570313,2581410
2020-10-22,70300.000000,70400.000000,69100.000000,69800.000000,69771.929688,1881900
2020-10-23,69700.000000,70000.000000,68000.000000,68000.000000,67972.656250,3112960
2020-10-26,67400.000000,68200.000000,65600.000000,65900.000000,65873.500000,3573610
2020-10-27,64900.000000,68700.000000,64900.000000,66800.000000,66773.132813,4063050
2020-10-28,67100.000000,69300.000000,67000.000000,69300.000000,69272.132813,3147835
2020-10-29,68400.000000,69100.000000,67700.000000,68600.000000,68572.414063,2457730
2020-10-30,68600.000000,68800.000000,66000.000000,66000.000000,65973.460938,2768740
2020-11-02,66100.000000,67100.000000,65600.000000,66900.000000,66873.093750,1599280
2020-11-03,66900.000000,67800.000000,66400.000000,67300.000000,67272.937500,2018930
2020-11-04,68100.000000,72200.000000,68000.000000,71900.000000,71871.085938,7155130
2020-11-05,71800.000000,73700.000000,70600.000000,72600.000000,72570.804688,5306835
2020-11-06,73400.000000,76100.000000,73100.000000,74100.000000,74070.203125,6577860
2020-11-09,75000.000000,75200.000000,73500.000000,74300.000000,74270.117188,2968675
2020-11-10,71500.000000,72300.000000,70800.000000,71200.000000,71171.367188,5525500
2020-11-11,70300.000000,71700.000000,69500.000000,71100.000000,71071.406250,3569215
2020-11-12,72000.000000,72900.000000,71000.000000,71500.000000,71471.242188,2776395
2020-11-13,71000.000000,73200.000000,71000.000000,73100.000000,73070.601563,2691030
2020-11-16,74200.000000,74300.000000,71900.000000,72400.000000,72370.882813,2789935
2020-11-17,71600.000000,73000.000000,71200.000000,72400.000000,72370.882813,2261375
2020-11-18,72000.000000,73700.000000,71900.000000,73100.000000,73070.601563,2422465
2020-11-19,73500.000000,74300.000000,73100.000000,73100.000000,73070.601563,2150600
2020-11-20,73300.000000,73600.000000,72400.000000,73100.000000,73070.601563,1336330
2020-11-23,73700.000000,73800.000000,73000.000000,73400.000000,73370.484375,1815980
2020-11-24,73300.000000,75400.000000,73300.000000,74600.000000,74570.000000,3248775
2020-11-25,75500.000000,75500.000000,73200.000000,73400.000000,73370.484375,3516395
